timestamp;id;action;st_key;value;remark
2024-01-26 15:56:26.960472;-;loaded_login;;;
2024-01-26 15:56:27.656557;-;loaded_login;;;
2024-01-26 15:56:32.279709;-;loaded_login;;;
2024-01-26 15:56:32.362702;-;loaded_login;;;
2024-01-26 15:56:32.400931;-;loaded_login;;;
2024-01-26 15:56:34.293218;-;loaded_login;;;
2024-01-26 15:56:34.906949;2;entered_valid_credentials;;;
2024-01-26 15:56:37.748341;1;edited_text;banking-recipient;Adam Arzheimer;
2024-01-26 15:56:43.504609;1;edited_text;banking-value;58,30;
2024-01-26 15:56:54.212965;2;entered_valid_totp;;;
2024-01-26 15:56:56.601994;1;edited_text;banking-message;Benzinkosten Hamburg;
2024-01-26 15:56:56.715210;1;clicked;banking-confirm;True;
2024-01-26 15:57:07.441894;1;logout;;;
2024-01-26 15:57:07.484592;-;loaded_login;;;
2024-01-26 15:57:18.886778;-;loaded_login;;;
2024-01-26 15:57:49.739556;2;edited_text;banking-recipient;anonymisiert;
2024-01-26 15:57:54.008469;2;edited_text;banking-value;100;
2024-01-26 15:57:59.256458;2;edited_text;banking-message;Test;
2024-01-26 15:57:59.332158;2;clicked;banking-confirm;True;
2024-01-26 16:06:29.904769;2;logout;;;
2024-01-26 16:06:29.946749;-;loaded_login;;;
2024-01-26 16:06:32.516418;-;loaded_login;;;
2024-01-26 16:06:41.249618;-;loaded_login;;;
2024-01-27 06:52:32.302265;-;loaded_login;;;
2024-01-27 06:53:26.288350;-;loaded_login;;;
2024-01-27 06:53:33.215104;-;loaded_login;;;
2024-01-27 06:53:33.817463;1;entered_valid_credentials;;;
2024-01-27 06:57:26.662061;-;loaded_login;;;
2024-01-27 06:57:31.667264;-;loaded_login;;;
2024-01-27 06:57:31.806269;-;loaded_login;;;
2024-01-27 06:57:31.845236;-;loaded_login;;;
2024-01-27 06:57:37.603538;-;loaded_login;;;
2024-01-27 06:57:38.274855;1;entered_valid_credentials;;;
2024-01-27 06:58:28.256287;-;loaded_login;;;
2024-01-27 06:58:31.424375;-;loaded_login;;;
2024-01-27 06:58:31.530981;-;loaded_login;;;
2024-01-27 06:58:31.578991;-;loaded_login;;;
2024-01-27 06:58:37.065506;-;loaded_login;;;
2024-01-27 06:58:37.172203;-;loaded_login;;;
2024-01-27 06:58:37.766615;1;entered_valid_credentials;;;
2024-01-27 07:00:57.183748;-;loaded_login;;;
2024-01-27 07:01:20.856776;-;loaded_login;;;
2024-01-27 07:01:22.169334;-;loaded_login;;;
2024-01-27 07:01:22.271672;-;loaded_login;;;
2024-01-27 07:01:22.885826;1;entered_valid_credentials;;;
2024-01-27 07:02:02.419761;1;entered_valid_totp;;;
2024-01-27 07:02:26.265700;1;edited_text;banking-recipient;Emma Ebel;
2024-01-27 07:02:35.278413;1;edited_text;banking-value;16,32;
2024-01-27 07:02:44.303686;1;edited_text;banking-message;Einkauf Wochenmarkt;
2024-01-27 07:02:44.453048;1;clicked;banking-confirm;True;
2024-01-27 07:02:54.431732;1;logout;;;
