id,1,2,3,4,5,6,7,8,9,10
1,1,3,3,1,2,1,3,1,1,1
2,3,3,3,3,3,4,3,4,3,4
4,3,3,3,1,3,4,4,3,2,0
3,2,1,1,4,2,4,3,2,2,4
5,3,3,3,3,3,3,4,4,3,3
6,4,4,4,4,3,4,4,4,4,4
7,3,3,3,4,2,3,3,4,2,3
8,3,4,3,3,3,3,2,4,3,3
9,2,4,4,4,4,4,4,4,2,4
10,3,4,3,0,3,2,4,3,2,3
11,3,3,3,4,3,4,2,3,4,4
